family,variant,feature_mode,round,max_features,n_topics,svd_components,chosen_relevance_threshold,chosen_no_signal_threshold,chosen_direction_threshold,chosen_margin_threshold,chosen_lower_override_threshold,chosen_lower_override_gap,chosen_threshold_family,relevance_accuracy,relevance_f1,relevance_precision,relevance_recall,direction_accuracy,direction_f1_macro,direction_eval_labels,action_accuracy,action_f1_macro,action_f1_macro_all_labels,action_eval_labels,uncertain_rate_signal_rate,online_final_accuracy,online_early_by_50_rate,online_before_cue_rate,online_median_stable_correct_pct,n_train_docs,n_threshold_docs,n_test_docs,n_val_docs,n_test_rate_relevant,error,run_id
LogisticRegression,C=0.25,sparse,1,12000,6,24,0.55,0.4,0.3,0.0,1.01,0.0,LogisticRegression,0.933920704845815,0.9597855227882037,0.9572192513368984,0.9623655913978495,0.7043010752688172,0.6468882675779227,"lower,maintain",0.6740088105726872,0.6620039655428938,0.4965029741571703,"no_rate_signal,lower,maintain",0.030837004405286344,0.7,0.775,0.4583333333333333,10.0,1057,226,227,227,186,,20260428T065016Z_cf67983c
LogisticRegression,C=0.6,sparse,1,12000,6,24,0.62,0.4,0.3,0.02,1.01,0.0,LogisticRegression,0.9251101321585903,0.9551451187335093,0.9378238341968912,0.9731182795698925,0.7473118279569892,0.6529161869218247,"lower,maintain",0.7004405286343612,0.6594180208716224,0.4945635156537168,"no_rate_signal,lower,maintain",0.039647577092511016,0.6625,0.7,0.4166666666666667,10.0,1057,226,227,227,186,,20260428T065016Z_cf67983c
LogisticRegression,C=1.4,sparse,1,12000,6,24,0.62,0.35,0.3,0.0,1.01,0.0,LogisticRegression,0.920704845814978,0.953125,0.9242424242424242,0.9838709677419355,0.7473118279569892,0.6291205294641721,"lower,maintain",0.6960352422907489,0.628531746031746,0.4713988095238095,"no_rate_signal,lower,maintain",0.02643171806167401,0.65,0.65,0.375,10.0,1057,226,227,227,186,,20260428T065016Z_cf67983c
SGDClassifier,alpha=8e-5,sparse,1,12000,6,24,0.5,0.25,0.3,0.0,1.01,0.0,SGDClassifier,0.9251101321585903,0.9549071618037135,0.9424083769633508,0.967741935483871,0.7526881720430108,0.5763517528223411,"lower,maintain",0.7268722466960352,0.6257568973117444,0.46931767298380833,"no_rate_signal,lower,maintain",0.013215859030837005,0.6,0.625,0.3333333333333333,10.0,1057,226,227,227,186,,20260428T065016Z_cf67983c
SGDClassifier,alpha=2e-5,sparse,1,12000,6,24,0.45,0.3,0.3,0.0,1.01,0.0,SGDClassifier,0.9251101321585903,0.9556135770234987,0.9289340101522843,0.9838709677419355,0.7204301075268817,0.585958904109589,"lower,maintain",0.6960352422907489,0.6177545489740611,0.46331591173054587,"no_rate_signal,lower,maintain",0.004405286343612335,0.65,0.65,0.375,10.0,1057,226,227,227,186,,20260428T065016Z_cf67983c
SGDClassifier,alpha=5e-6,sparse,1,12000,6,24,0.4,0.25,0.3,0.0,1.01,0.0,SGDClassifier,0.9074889867841409,0.9462915601023018,0.9024390243902439,0.9946236559139785,0.7473118279569892,0.6355525909867845,"lower,maintain",0.6960352422907489,0.6156659550120275,0.4617494662590206,"no_rate_signal,lower,maintain",0.004405286343612335,0.7375,0.6625,0.4583333333333333,10.0,1057,226,227,227,186,,20260428T065016Z_cf67983c
RidgeClassifier,alpha=3.2,sparse,1,12000,6,24,0.45,0.4,0.45,0.1,0.38,0.12,RidgeClassifier,0.920704845814978,0.9518716577540107,0.9468085106382979,0.956989247311828,0.7741935483870968,0.6036931818181819,"lower,maintain",0.7092511013215859,0.6125743829870257,0.45943078724026926,"no_rate_signal,lower,maintain",0.039647577092511016,0.5875,0.6,0.3333333333333333,10.0,1057,226,227,227,186,,20260428T065016Z_cf67983c
LogisticRegression,C=2.4,sparse,1,12000,6,24,0.55,0.35,0.45,0.0,1.01,0.0,LogisticRegression,0.9251101321585903,0.9560723514211886,0.9203980099502488,0.9946236559139785,0.7473118279569892,0.6223268674126237,"lower,maintain",0.6960352422907489,0.611801730920535,0.45885129819040127,"no_rate_signal,lower,maintain",0.022026431718061675,0.65,0.65,0.375,10.0,1057,226,227,227,186,,20260428T065016Z_cf67983c
RidgeClassifier,alpha=1.8,sparse,1,12000,6,24,0.45,0.4,0.45,0.1,0.38,0.12,RidgeClassifier,0.920704845814978,0.9516129032258065,0.9516129032258065,0.9516129032258065,0.7580645161290323,0.5588002741025776,"lower,maintain",0.7092511013215859,0.6024940381558029,0.4518705286168522,"no_rate_signal,lower,maintain",0.04405286343612335,0.5875,0.6,0.3333333333333333,10.0,1057,226,227,227,186,,20260428T065016Z_cf67983c
RidgeClassifier,alpha=0.8,sparse,1,12000,6,24,0.45,0.4,0.52,0.0,0.34,0.12,RidgeClassifier,0.9118942731277533,0.946236559139785,0.946236559139785,0.946236559139785,0.7365591397849462,0.49239766081871345,"lower,maintain",0.6828193832599119,0.5677818609351878,0.42583639570139087,"no_rate_signal,lower,maintain",0.05726872246696035,0.5625,0.6,0.3333333333333333,10.0,1057,226,227,227,186,,20260428T065016Z_cf67983c
RidgeClassifier,alpha=0.3,sparse,1,12000,6,24,0.45,0.4,0.52,0.0,0.34,0.12,RidgeClassifier,0.9074889867841409,0.9436997319034852,0.9411764705882353,0.946236559139785,0.7258064516129032,0.4559219959850875,"lower,maintain",0.6784140969162996,0.5513491797790425,0.4135118848342819,"no_rate_signal,lower,maintain",0.05286343612334802,0.55,0.5875,0.3333333333333333,10.0,1057,226,227,227,186,,20260428T065016Z_cf67983c
DummyMostFrequent,most_frequent,sparse,1,12000,6,24,0.4,0.25,0.3,0.0,1.01,0.0,DummyMostFrequent,0.8193832599118943,0.9007263922518159,0.8193832599118943,1.0,0.7150537634408602,0.4169278996865204,"lower,maintain",0.5859030837004405,0.24629629629629632,0.18472222222222223,"no_rate_signal,lower,maintain",0.0,0.475,0.475,0.3333333333333333,10.0,1057,226,227,227,186,,20260428T065016Z_cf67983c
