speaker,prefix_words,prefix_pct,prediction,state,p_rate_relevant,p_no_rate_signal,p_lower,p_maintain,p_raise,confidence,margin,true_action,selected_event_date
Vice Chair Philip N. Jefferson,60,2.4,maintain,rate_relevant_directional,0.9999662818016839,3.371819831610168e-05,0.017536509694027657,0.9824575959252464,5.894380725933582e-06,0.9824575959252464,0.9649210862312187,maintain,2026-04-07
Vice Chair Philip N. Jefferson,186,7.3,maintain,rate_relevant_directional,0.9999938915302643,6.108469735699451e-06,0.07209709046923327,0.9278992697895975,3.639741169303927e-06,0.9278992697895975,0.8558021793203642,maintain,2026-04-07
Vice Chair Philip N. Jefferson,312,12.3,maintain,rate_relevant_directional,0.9999888889885524,1.1111011447573205e-05,0.1073826477621896,0.8926140043353777,3.347902432627737e-06,0.8926140043353777,0.7852313565731881,maintain,2026-04-07
Vice Chair Philip N. Jefferson,438,17.3,maintain,rate_relevant_directional,0.9999796340450077,2.0365954992329627e-05,0.25250539205223443,0.7474926578446661,1.950103099599002e-06,0.7474926578446661,0.4949872657924317,maintain,2026-04-07
Vice Chair Philip N. Jefferson,564,22.3,maintain,rate_relevant_directional,0.9999831588820769,1.6841117923105386e-05,0.3673795014113562,0.6326184314820025,2.0671066412921352e-06,0.6326184314820025,0.26523893007064625,maintain,2026-04-07
Vice Chair Philip N. Jefferson,690,27.2,lower,rate_relevant_directional,0.9999681154849629,3.18845150371061e-05,0.8753680621624251,0.12459980306555105,3.213477202381401e-05,0.8753680621624251,0.7507682590968741,maintain,2026-04-07
Vice Chair Philip N. Jefferson,816,32.2,lower,rate_relevant_directional,0.999986639889742,1.3360110257987223e-05,0.8690980783681735,0.13088322799924454,1.8693632581942593e-05,0.8690980783681735,0.738214850368929,maintain,2026-04-07
Vice Chair Philip N. Jefferson,942,37.2,lower,rate_relevant_directional,0.9999902048081993,9.79519180066557e-06,0.8352999398928918,0.16468765578945221,1.240431765613816e-05,0.8352999398928918,0.6706122841034395,maintain,2026-04-07
Vice Chair Philip N. Jefferson,1068,42.2,lower,rate_relevant_directional,0.9999929681012323,7.031898767717593e-06,0.7958332792197261,0.20415657485627806,1.0145923995789727e-05,0.7958332792197261,0.5916767043634481,maintain,2026-04-07
Vice Chair Philip N. Jefferson,1194,47.1,lower,rate_relevant_directional,0.9999948374038125,5.162596187546775e-06,0.7247817891826931,0.27520834389442095,9.866922885959146e-06,0.7247817891826931,0.44957344528827214,maintain,2026-04-07
Vice Chair Philip N. Jefferson,1320,52.1,lower,rate_relevant_directional,0.9999942383142975,5.761685702543318e-06,0.7017588921712447,0.2982297219178354,1.1385910919900237e-05,0.7017588921712447,0.40352917025340923,maintain,2026-04-07
Vice Chair Philip N. Jefferson,1446,57.1,lower,rate_relevant_directional,0.9999945309480278,5.469051972184502e-06,0.7130848082399732,0.28690409566424496,1.1096095781755565e-05,0.7130848082399732,0.42618071257572826,maintain,2026-04-07
Vice Chair Philip N. Jefferson,1572,62.1,lower,rate_relevant_directional,0.9999948908055871,5.109194412877827e-06,0.6847045044630761,0.31528312664925606,1.2368887667835864e-05,0.6847045044630761,0.36942137781382,maintain,2026-04-07
Vice Chair Philip N. Jefferson,1698,67.0,lower,rate_relevant_directional,0.9999939875095966,6.012490403439763e-06,0.689046856318209,0.31094277577456936,1.0367907221699199e-05,0.689046856318209,0.3781040805436396,maintain,2026-04-07
Vice Chair Philip N. Jefferson,1824,72.0,lower,rate_relevant_directional,0.9999851670629718,1.4832937028197435e-05,0.6536333643969163,0.34634371378362105,2.292181946264334e-05,0.6536333643969163,0.3072896506132953,maintain,2026-04-07
Vice Chair Philip N. Jefferson,1950,77.0,lower,rate_relevant_directional,0.9999855723123078,1.4427687692220026e-05,0.7657031568310039,0.23424320039063,5.364277836614055e-05,0.7657031568310039,0.5314599564403739,maintain,2026-04-07
Vice Chair Philip N. Jefferson,2076,82.0,lower,rate_relevant_directional,0.9999885233740164,1.1476625983553035e-05,0.7117230633988407,0.2882249591008109,5.1977500348419286e-05,0.7117230633988407,0.4234981042980298,maintain,2026-04-07
Vice Chair Philip N. Jefferson,2202,86.9,lower,rate_relevant_directional,0.9999858304906872,1.4169509312766948e-05,0.6865644771820586,0.3133857414792811,4.978133866029081e-05,0.6865644771820586,0.3731787357027775,maintain,2026-04-07
Vice Chair Philip N. Jefferson,2328,91.9,lower,rate_relevant_directional,0.999980716236579,1.9283763420974154e-05,0.7099743066062253,0.289986034882184,3.9658511590749126e-05,0.7099743066062253,0.4199882717240413,maintain,2026-04-07
Vice Chair Philip N. Jefferson,2454,96.9,lower,rate_relevant_directional,0.9999789460044914,2.1053995508557577e-05,0.7113342648185106,0.28864190731055084,2.382787093853322e-05,0.7113342648185106,0.42269235750795975,maintain,2026-04-07
Vice Chair Philip N. Jefferson,2533,100.0,lower,rate_relevant_directional,0.9999771366395394,2.286336046064541e-05,0.7137817993231863,0.2861984714804826,1.9729196331212735e-05,0.7137817993231863,0.4275833278427037,maintain,2026-04-07
