family,variant,round,max_features,n_topics,svd_components,relevance_accuracy,relevance_f1,relevance_precision,relevance_recall,direction_accuracy,direction_f1_macro,action_accuracy,action_f1_macro,online_final_accuracy,online_early_by_50_rate,online_before_cue_rate,online_median_stable_correct_pct,n_train_docs,n_val_docs,n_val_rate_relevant,error,run_id,chosen_relevance_threshold,chosen_no_signal_threshold,chosen_direction_threshold,chosen_margin_threshold,feature_mode,uncertain_rate_signal_rate,direction_eval_labels,n_threshold_docs,n_test_docs,n_test_rate_relevant,action_f1_macro_all_labels,action_eval_labels,chosen_lower_override_threshold,chosen_lower_override_gap,chosen_threshold_family
DummyMostFrequent,most_frequent,1,8000,6,12,0.7902097902097902,0.8828125,0.7902097902097902,1.0,0.672566371681416,0.2680776014109347,0.5314685314685315,0.1388127853881278,0.575,0.575,0.4545454545454545,10.0,507.0,143.0,113.0,,20260426T225148Z_56b69d2e,,,,,,,,,,,,,,,
LogisticRegression,C=0.6,1,8000,6,12,0.8741258741258742,0.9134615384615384,1.0,0.8407079646017699,0.3893805309734513,0.2224951745920337,0.3636363636363636,0.2471302149178255,0.3875,0.475,0.2272727272727272,10.0,507.0,143.0,113.0,,20260426T225148Z_56b69d2e,,,,,,,,,,,,,,,
LogisticRegression,C=1.4,1,8000,6,12,0.8811188811188811,0.9186602870813396,1.0,0.8495575221238938,0.4601769911504424,0.2236559139784946,0.4055944055944055,0.2523076923076923,0.4625,0.5625,0.3181818181818182,10.0,507.0,143.0,113.0,,20260426T225148Z_56b69d2e,,,,,,,,,,,,,,,
SGDClassifier,alpha=2e-5,1,8000,6,12,0.8951048951048951,0.9333333333333332,0.9375,0.9292035398230089,0.6194690265486725,0.2621722846441948,0.6013986013986014,0.3041269841269841,0.6625,0.65,0.3636363636363636,10.0,507.0,143.0,113.0,,20260426T225148Z_56b69d2e,,,,,,,,,,,,,,,
SGDClassifier,alpha=8e-5,1,8000,6,12,0.8951048951048951,0.9302325581395348,0.9803921568627452,0.8849557522123894,0.6017699115044248,0.259047619047619,0.5734265734265734,0.2931300583474496,0.675,0.65,0.3636363636363636,10.0,507.0,143.0,113.0,,20260426T225148Z_56b69d2e,,,,,,,,,,,,,,,
RidgeClassifier,alpha=0.8,1,8000,6,12,0.8111888111888111,0.864321608040201,1.0,0.7610619469026548,0.5752212389380531,0.2490421455938697,0.2657342657342657,0.1798773563479446,0.2,0.3,0.1818181818181818,25.0,507.0,143.0,113.0,,20260426T225148Z_56b69d2e,,,,,,,,,,,,,,,
RidgeClassifier,alpha=1.8,1,8000,6,12,0.7902097902097902,0.8469387755102041,1.0,0.7345132743362832,0.5132743362831859,0.2357723577235772,0.1748251748251748,0.1650490319336183,0.175,0.2625,0.0,20.0,507.0,143.0,113.0,,20260426T225148Z_56b69d2e,,,,,,,,,,,,,,,
CalibratedLinearSVC,C=0.8,1,8000,6,12,0.902097902097902,0.9339622641509434,1.0,0.8761061946902655,0.672566371681416,0.2680776014109347,0.6013986013986014,0.3021624649859943,0.7125,0.6625,0.4545454545454545,10.0,507.0,143.0,113.0,,20260426T225148Z_56b69d2e,,,,,,,,,,,,,,,
DummyMostFrequent,most_frequent,1,10000,6,16,0.8131313131313131,0.8969359331476323,0.8131313131313131,1.0,0.6894409937888198,0.2720588235294117,0.5606060606060606,0.1436893203883495,0.4375,0.4375,0.3333333333333333,10.0,702.0,198.0,161.0,,20260426T225940Z_c3ee2b73,,,,,,,,,,,,,,,
LogisticRegression,C=0.6,1,10000,6,16,0.904040404040404,0.9381107491856676,0.9863013698630136,0.8944099378881988,0.6583850931677019,0.5627284679874002,0.51010101010101,0.4212466988888335,0.5375,0.4375,0.2857142857142857,10.0,702.0,198.0,161.0,,20260426T225940Z_c3ee2b73,,,,,,,,,,,,,,,
LogisticRegression,C=1.4,1,10000,6,16,0.904040404040404,0.9385113268608414,0.9797297297297296,0.9006211180124224,0.6708074534161491,0.5599110369752572,0.5454545454545454,0.4381058898745305,0.575,0.55,0.3333333333333333,10.0,702.0,198.0,161.0,,20260426T225940Z_c3ee2b73,,,,,,,,,,,,,,,
SGDClassifier,alpha=2e-5,1,10000,6,16,0.898989898989899,0.9393939393939394,0.9171597633136096,0.9627329192546584,0.7204968944099379,0.5175200629425649,0.6464646464646465,0.4178689005106369,0.7,0.7,0.4761904761904761,10.0,702.0,198.0,161.0,,20260426T225940Z_c3ee2b73,,,,,,,,,,,,,,,
SGDClassifier,alpha=8e-5,1,10000,6,16,0.9191919191919192,0.949685534591195,0.961783439490446,0.937888198757764,0.7267080745341615,0.5163068698209036,0.6717171717171717,0.4356763485477178,0.6625,0.7,0.4285714285714285,10.0,702.0,198.0,161.0,,20260426T225940Z_c3ee2b73,,,,,,,,,,,,,,,
RidgeClassifier,alpha=0.8,1,10000,6,16,0.8333333333333334,0.8865979381443299,0.9923076923076924,0.8012422360248447,0.7391304347826086,0.5475658874004027,0.3585858585858585,0.3019959432048681,0.4,0.425,0.0952380952380952,10.0,702.0,198.0,161.0,,20260426T225940Z_c3ee2b73,,,,,,,,,,,,,,,
RidgeClassifier,alpha=1.8,1,10000,6,16,0.8333333333333334,0.8865979381443299,0.9923076923076924,0.8012422360248447,0.7142857142857143,0.570249903583237,0.3333333333333333,0.3204451731912277,0.3,0.3375,0.0952380952380952,10.0,702.0,198.0,161.0,,20260426T225940Z_c3ee2b73,,,,,,,,,,,,,,,
CalibratedLinearSVC,C=0.8,1,10000,6,16,0.9090909090909092,0.94375,0.949685534591195,0.937888198757764,0.6894409937888198,0.2720588235294117,0.6111111111111112,0.2689971196648337,0.55,0.5875,0.2857142857142857,10.0,702.0,198.0,161.0,,20260426T225940Z_c3ee2b73,,,,,,,,,,,,,,,
DummyMostFrequent,most_frequent,1,10000,6,16,0.8131313131313131,0.8969359331476323,0.8131313131313131,1.0,0.6894409937888198,0.2720588235294117,0.5606060606060606,0.1436893203883495,0.4375,0.4375,0.3333333333333333,10.0,702.0,198.0,161.0,,20260426T231052Z_7ff42cb9,0.55,0.3,0.38,0.02,,,,,,,,,,,
LogisticRegression,C=0.6,1,10000,6,16,0.904040404040404,0.9381107491856676,0.9863013698630136,0.8944099378881988,0.6583850931677019,0.5627284679874002,0.6262626262626263,0.4805595452525205,0.5875,0.6125,0.4285714285714285,10.0,702.0,198.0,161.0,,20260426T231052Z_7ff42cb9,0.62,0.4,0.38,0.02,,,,,,,,,,,
LogisticRegression,C=1.4,1,10000,6,16,0.914141414141414,0.945337620578778,0.98,0.9130434782608696,0.6708074534161491,0.5599110369752572,0.6515151515151515,0.4870228159583482,0.65,0.65,0.4761904761904761,10.0,702.0,198.0,161.0,,20260426T231052Z_7ff42cb9,0.55,0.4,0.38,0.02,,,,,,,,,,,
SGDClassifier,alpha=2e-5,1,10000,6,16,0.898989898989899,0.9393939393939394,0.9171597633136096,0.9627329192546584,0.7204968944099379,0.5175200629425649,0.6515151515151515,0.4224590644450631,0.7,0.7,0.4761904761904761,10.0,702.0,198.0,161.0,,20260426T231052Z_7ff42cb9,0.62,0.4,0.38,0.06,,,,,,,,,,,
SGDClassifier,alpha=8e-5,1,10000,6,16,0.9191919191919192,0.949685534591195,0.961783439490446,0.937888198757764,0.7267080745341615,0.5163068698209036,0.702020202020202,0.4628237994091653,0.725,0.7125,0.4761904761904761,10.0,702.0,198.0,161.0,,20260426T231052Z_7ff42cb9,0.62,0.4,0.45,0.02,,,,,,,,,,,
RidgeClassifier,alpha=0.8,1,10000,6,16,0.914141414141414,0.946031746031746,0.9675324675324676,0.9254658385093169,0.7391304347826086,0.5475658874004027,0.6262626262626263,0.4403166298948718,0.65,0.6875,0.4761904761904761,10.0,702.0,198.0,161.0,,20260426T231052Z_7ff42cb9,0.55,0.4,0.38,0.02,,,,,,,,,,,
RidgeClassifier,alpha=1.8,1,10000,6,16,0.914141414141414,0.9456869009584664,0.9736842105263158,0.9192546583850932,0.7142857142857143,0.570249903583237,0.6212121212121212,0.461124924411452,0.6125,0.6625,0.4285714285714285,10.0,702.0,198.0,161.0,,20260426T231052Z_7ff42cb9,0.55,0.4,0.38,0.02,,,,,,,,,,,
DummyMostFrequent,most_frequent,1,12000,9,24,0.8143939393939394,0.8977035490605428,0.8143939393939394,1.0,0.6930232558139535,0.2728937728937728,0.5643939393939394,0.1443099273607748,0.52,0.52,0.3448275862068966,10.0,936.0,264.0,215.0,,20260426T233910Z_69e7ee2b,0.55,0.35,0.38,0.02,,,,,,,,,,,
LogisticRegression,C=0.6,1,12000,9,24,0.9090909090909092,0.941747572815534,0.9847715736040608,0.9023255813953488,0.7069767441860465,0.6280466388522287,0.6628787878787878,0.5134651782121364,0.59,0.64,0.4482758620689655,10.0,936.0,264.0,215.0,,20260426T233910Z_69e7ee2b,0.55,0.35,0.38,0.06,,,,,,,,,,,
LogisticRegression,C=1.4,1,12000,9,24,0.9166666666666666,0.9468599033816424,0.984924623115578,0.9116279069767442,0.7209302325581395,0.6283144386710754,0.6856060606060606,0.536276311721131,0.64,0.69,0.5172413793103449,10.0,936.0,264.0,215.0,,20260426T233910Z_69e7ee2b,0.55,0.35,0.45,0.02,,,,,,,,,,,
SGDClassifier,alpha=2e-5,1,12000,9,24,0.9166666666666666,0.949074074074074,0.9447004608294932,0.9534883720930232,0.772093023255814,0.6251325556733828,0.7386363636363636,0.5268247694334651,0.7,0.72,0.5172413793103449,10.0,936.0,264.0,215.0,,20260426T233910Z_69e7ee2b,0.62,0.4,0.38,0.06,,,,,,,,,,,
SGDClassifier,alpha=8e-5,1,12000,9,24,0.9128787878787878,0.9443099273607748,0.9848484848484848,0.9069767441860463,0.7395348837209302,0.6191214860701905,0.6856060606060606,0.5209632969364121,0.7,0.68,0.5517241379310345,10.0,936.0,264.0,215.0,,20260426T233910Z_69e7ee2b,0.62,0.4,0.38,0.06,,,,,,,,,,,
RidgeClassifier,alpha=0.8,1,12000,9,24,0.9128787878787878,0.944578313253012,0.98,0.9116279069767442,0.786046511627907,0.673128831795235,0.6742424242424242,0.5333842458759401,0.66,0.65,0.4827586206896552,10.0,936.0,264.0,215.0,,20260426T233910Z_69e7ee2b,0.55,0.4,0.38,0.02,,,,,,,,,,,
RidgeClassifier,alpha=1.8,1,12000,9,24,0.9015151515151516,0.9365853658536586,0.9846153846153848,0.8930232558139535,0.7581395348837209,0.6607256255027306,0.6287878787878788,0.5272592937043065,0.57,0.61,0.5172413793103449,10.0,936.0,264.0,215.0,,20260426T233910Z_69e7ee2b,0.55,0.4,0.38,0.06,,,,,,,,,,,
DummyMostFrequent,most_frequent,1,10000,9,20,0.8131313131313131,0.8969359331476323,0.8131313131313131,1.0,0.6894409937888198,0.2720588235294117,0.5606060606060606,0.1436893203883495,0.4375,0.4375,0.3333333333333333,10.0,702.0,198.0,161.0,,20260427T002803Z_72e33f09,0.55,0.35,0.38,0.02,sparse,,,,,,,,,,
LogisticRegression,C=0.6,1,10000,9,20,0.9090909090909092,0.9419354838709676,0.9798657718120806,0.906832298136646,0.6521739130434783,0.5490957914104327,0.6161616161616161,0.467979091494217,0.575,0.575,0.4285714285714285,10.0,702.0,198.0,161.0,,20260427T002803Z_72e33f09,0.55,0.35,0.38,0.02,sparse,,,,,,,,,,
LogisticRegression,C=1.4,1,10000,9,20,0.914141414141414,0.9456869009584664,0.9736842105263158,0.9192546583850932,0.6832298136645962,0.5407268170426066,0.6666666666666666,0.4884609243464995,0.65,0.6625,0.4285714285714285,10.0,702.0,198.0,161.0,,20260427T002803Z_72e33f09,0.55,0.4,0.38,0.02,sparse,,,,,,,,,,
SGDClassifier,alpha=2e-5,1,10000,9,20,0.9191919191919192,0.9503105590062112,0.9503105590062112,0.9503105590062112,0.6894409937888198,0.4687477181453085,0.6767676767676768,0.4262984126984127,0.6875,0.6875,0.4285714285714285,10.0,702.0,198.0,161.0,,20260427T002803Z_72e33f09,0.55,0.35,0.38,0.02,sparse,,,,,,,,,,
SGDClassifier,alpha=8e-5,1,10000,9,20,0.9090909090909092,0.9440993788819876,0.9440993788819876,0.9440993788819876,0.7018633540372671,0.5073494194311666,0.6666666666666666,0.4475105061832953,0.675,0.675,0.4761904761904761,10.0,702.0,198.0,161.0,,20260427T002803Z_72e33f09,0.62,0.35,0.38,0.06,sparse,,,,,,,,,,
RidgeClassifier,alpha=0.8,1,10000,9,20,0.914141414141414,0.946031746031746,0.9675324675324676,0.9254658385093169,0.7391304347826086,0.5567682347350914,0.6363636363636364,0.4394118499203244,0.6625,0.675,0.3333333333333333,10.0,702.0,198.0,161.0,,20260427T002803Z_72e33f09,0.55,0.4,0.38,0.02,sparse,,,,,,,,,,
RidgeClassifier,alpha=1.8,1,10000,9,20,0.9090909090909092,0.9423076923076924,0.9735099337748344,0.9130434782608696,0.7018633540372671,0.5568895180150872,0.6161616161616161,0.4545140151355007,0.6125,0.625,0.3809523809523809,10.0,702.0,198.0,161.0,,20260427T002803Z_72e33f09,0.55,0.4,0.38,0.02,sparse,,,,,,,,,,
NeuralMLP,dense_64,1,10000,9,20,,,,,,,,,,,,,,,,"TypeError(""ufunc 'isnan' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"")",20260427T002803Z_72e33f09,,,,,,,,,,,,,,,
NeuralMLP,dense_96_32,1,10000,9,20,,,,,,,,,,,,,,,,"TypeError(""ufunc 'isnan' not supported for the input types, and the inputs could not be safely coerced to any supported types according to the casting rule ''safe''"")",20260427T002803Z_72e33f09,,,,,,,,,,,,,,,
DummyMostFrequent,most_frequent,1,10000,9,20,0.8131313131313131,0.8969359331476323,0.8131313131313131,1.0,0.6894409937888198,0.2720588235294117,0.5606060606060606,0.1436893203883495,0.4375,0.4375,0.3333333333333333,10.0,702.0,198.0,161.0,,20260427T003856Z_ec4abddc,0.55,0.35,0.38,0.02,sparse,,,,,,,,,,
LogisticRegression,C=0.6,1,10000,9,20,0.9090909090909092,0.9419354838709676,0.9798657718120806,0.906832298136646,0.6521739130434783,0.5490957914104327,0.6161616161616161,0.467979091494217,0.575,0.575,0.4285714285714285,10.0,702.0,198.0,161.0,,20260427T003856Z_ec4abddc,0.55,0.35,0.38,0.02,sparse,,,,,,,,,,
LogisticRegression,C=1.4,1,10000,9,20,0.914141414141414,0.9456869009584664,0.9736842105263158,0.9192546583850932,0.6832298136645962,0.5407268170426066,0.6666666666666666,0.4884609243464995,0.65,0.6625,0.4285714285714285,10.0,702.0,198.0,161.0,,20260427T003856Z_ec4abddc,0.55,0.4,0.38,0.02,sparse,,,,,,,,,,
SGDClassifier,alpha=2e-5,1,10000,9,20,0.9191919191919192,0.9503105590062112,0.9503105590062112,0.9503105590062112,0.6894409937888198,0.4687477181453085,0.6767676767676768,0.4262984126984127,0.6875,0.6875,0.4285714285714285,10.0,702.0,198.0,161.0,,20260427T003856Z_ec4abddc,0.55,0.35,0.38,0.02,sparse,,,,,,,,,,
SGDClassifier,alpha=8e-5,1,10000,9,20,0.9090909090909092,0.9440993788819876,0.9440993788819876,0.9440993788819876,0.7018633540372671,0.5073494194311666,0.6666666666666666,0.4475105061832953,0.675,0.675,0.4761904761904761,10.0,702.0,198.0,161.0,,20260427T003856Z_ec4abddc,0.62,0.35,0.38,0.06,sparse,,,,,,,,,,
RidgeClassifier,alpha=0.8,1,10000,9,20,0.914141414141414,0.946031746031746,0.9675324675324676,0.9254658385093169,0.7391304347826086,0.5567682347350914,0.6363636363636364,0.4394118499203244,0.6625,0.675,0.3333333333333333,10.0,702.0,198.0,161.0,,20260427T003856Z_ec4abddc,0.55,0.4,0.38,0.02,sparse,,,,,,,,,,
RidgeClassifier,alpha=1.8,1,10000,9,20,0.9090909090909092,0.9423076923076924,0.9735099337748344,0.9130434782608696,0.7018633540372671,0.5568895180150872,0.6161616161616161,0.4545140151355007,0.6125,0.625,0.3809523809523809,10.0,702.0,198.0,161.0,,20260427T003856Z_ec4abddc,0.55,0.4,0.38,0.02,sparse,,,,,,,,,,
NeuralMLP,dense_64,1,10000,9,20,0.914141414141414,0.946372239747634,0.9615384615384616,0.9316770186335404,0.6770186335403726,0.3638501138501138,0.6515151515151515,0.3664173279047421,0.5375,0.65,0.4285714285714285,10.0,702.0,198.0,161.0,,20260427T003856Z_ec4abddc,0.55,0.4,0.38,0.06,dense,,,,,,,,,,
NeuralMLP,dense_96_32,1,10000,9,20,0.9090909090909092,0.9433962264150944,0.9554140127388536,0.9316770186335404,0.6521739130434783,0.4145345316822397,0.6464646464646465,0.3999284948917345,0.575,0.675,0.2857142857142857,10.0,702.0,198.0,161.0,,20260427T003856Z_ec4abddc,0.55,0.4,0.38,0.06,dense,,,,,,,,,,
DummyMostFrequent,most_frequent,1,12000,9,24,0.7987012987012987,0.8880866425992779,0.7987012987012987,1.0,0.6747967479674797,0.2686084142394822,0.538961038961039,0.1751054852320675,0.475,0.475,0.3333333333333333,10.0,546.0,154.0,123.0,,20260427T032043Z_edc7831e,0.45,0.3,0.38,0.02,sparse,0.0,,,,,,,,,
LogisticRegression,C=0.6,1,12000,9,24,0.9090909090909092,0.9396551724137931,1.0,0.8861788617886179,0.3821138211382114,0.2088888888888889,0.448051948051948,0.3450384691260604,0.375,0.45,0.1666666666666666,10.0,546.0,154.0,123.0,,20260427T032043Z_edc7831e,0.45,0.4,0.38,0.02,sparse,0.0259740259740259,,,,,,,,,
LogisticRegression,C=1.4,1,12000,9,24,0.9090909090909092,0.9396551724137931,1.0,0.8861788617886179,0.4227642276422764,0.2194092827004219,0.474025974025974,0.3514084507042253,0.4,0.5,0.0833333333333333,10.0,546.0,154.0,123.0,,20260427T032043Z_edc7831e,0.55,0.4,0.38,0.02,sparse,0.0454545454545454,,,,,,,,,
SGDClassifier,alpha=2e-5,1,12000,9,24,0.9025974025974026,0.9402390438247012,0.921875,0.959349593495935,0.5853658536585366,0.2553191489361702,0.577922077922078,0.3683667452830189,0.625,0.575,0.1666666666666666,10.0,546.0,154.0,123.0,,20260427T032043Z_edc7831e,0.45,0.3,0.38,0.02,sparse,0.0259740259740259,,,,,,,,,
SGDClassifier,alpha=8e-5,1,12000,9,24,0.9025974025974026,0.9361702127659576,0.9821428571428572,0.8943089430894309,0.5772357723577236,0.2544802867383512,0.5909090909090909,0.3795498084291188,0.55,0.55,0.1666666666666666,10.0,546.0,154.0,123.0,,20260427T032043Z_edc7831e,0.45,0.4,0.38,0.1,sparse,0.0324675324675324,,,,,,,,,
RidgeClassifier,alpha=0.8,1,12000,9,24,0.9155844155844156,0.9486166007905138,0.9230769230769232,0.975609756097561,0.5284552845528455,0.2394106813996317,0.4805194805194805,0.3093093093093093,0.525,0.525,0.25,10.0,546.0,154.0,123.0,,20260427T032043Z_edc7831e,0.45,0.4,0.38,0.02,sparse,0.0974025974025974,,,,,,,,,
RidgeClassifier,alpha=1.8,1,12000,9,24,0.8961038961038961,0.935483870967742,0.928,0.943089430894309,0.4878048780487805,0.2312138728323699,0.435064935064935,0.3116212517108374,0.475,0.525,0.1666666666666666,10.0,546.0,154.0,123.0,,20260427T032043Z_edc7831e,0.45,0.4,0.38,0.02,sparse,0.1233766233766233,,,,,,,,,
