url	participant
https://www.cnbc.com/2024/12/04/watch-fed-chair-jerome-powell-speak-live-at-the-dealbook-conference.html	Chair Jerome H. Powell
https://www.cnbc.com/2025/01/06/michael-barr-to-step-down-as-the-feds-head-of-banking-supervision-avoiding-clash-with-trump.html	Vice Chair for Supervision Michael S. Barr
https://www.cnbc.com/2025/01/09/fed-governor-bowman-says-december-interest-rate-cut-should-be-the-last.html	Governor Michelle W. Bowman
https://www.cnbc.com/2025/05/15/feds-powell-cautions-about-higher-long-term-rates-as-supply-shocks-provide-policy-challenges.html	Chair Jerome H. Powell
https://www.cnbc.com/2026/03/18/fedjerome-powell-interest-rates-kevin-warsh-iran-war-oil.html	Chair Jerome H. Powell
https://www.cnbc.com/2026/03/20/fed-gov-waller-urges-caution-for-now-cuts-possible-later-in-the-year.html	Governor Christopher J. Waller
https://www.cnbc.com/2026/03/30/powell-sees-inflation-outlook-in-check-no-wider-crisis-yet-in-private-credit.html	Chair Jerome H. Powell
https://www.foxbusiness.com/economy/powell-warns-economy-could-face-more-frequent-supply-shocks	Chair Jerome H. Powell
https://www.foxbusiness.com/economy/fed-chair-powell-says-tariffs-likely-cause-inflation-rise-could-persistent	Chair Jerome H. Powell
https://www.foxbusiness.com/economy/powell-warns-new-energy-supply-shock-gas-prices-surge-no-one-knows-how-big-be	Chair Jerome H. Powell
https://www.foxbusiness.com/economy/fed-governor-breaks-ranks-powell-signals-rate-cuts-could-begin-next-month	Governor Christopher J. Waller
https://www.foxbusiness.com/economy/feds-bowman-says-shes-written-3-interest-rate-cuts-before-year-end	Vice Chair for Supervision Michelle W. Bowman
https://www.foxbusiness.com/economy/federal-reserve-cut-interest-rates-2026	Chair Jerome H. Powell
https://www.foxbusiness.com/economy/federal-reserve-interest-rate-decision-march-2026	Chair Jerome H. Powell
https://www.foxbusiness.com/politics/feds-powell-says-its-too-soon-know-iran-wars-impact-economy	Chair Jerome H. Powell
https://www.foxbusiness.com/economy/feds-barr-says-regulators-more-aggressive-banks-focused-interest-rate-risk	Vice Chair for Supervision Michael S. Barr
